Software Name,version,EOL Date,Release Date
Prisma Access Browser,Version,,
Prisma Access Browser,139.12.x.x,2025-11-11,2025-08-13
Prisma Access Browser,139.7.x.x,2025-11-05,2025-08-07
Prisma Access Browser,138.69.x.x,2025-10-28,2025-07-30
Prisma Access Browser,138.64.x.x,2025-10-21,2025-07-23
Prisma Access Browser,138.53.x.x,2025-10-14,2025-07-16
Prisma Access Browser,138.47.x.x,2025-10-07,2025-07-09
Prisma Access Browser,138.40.x.x,2025-09-29,2025-07-01
Prisma Access Browser,138.33.x.x,2025-09-23,2025-06-25
Prisma Access Browser,137.27.x.x,2025-09-16,2025-06-18
Prisma Access Browser,137.20.x.x,2025-09-09,2025-06-11
Prisma Access Browser,137.16.x.x,2025-09-01,2025-06-03
Prisma Access Browser,137.8.x.x,2025-08-26,2025-05-28
Prisma Access Browser,136.33.x.x,2025-08-19,2025-05-21
Prisma Access Browser,136.24.x.x,2025-08-12,2025-05-14
Prisma Access Browser,136.17.x.x,2025-08-05,2025-05-07
Prisma Access Browser,136.11.x.x,2025-07-29,2025-04-30
Prisma Access Browser,135.27.x.x,2025-07-22,2025-04-23
Prisma Access Browser,135.16.x.x,2025-07-08,2025-04-09
Prisma Access Browser,135.10.x.x,2025-07-01,2025-04-02
Prisma Access Browser,134.29.x.x,2025-06-24,2025-03-26
Prisma Access Browser,134.20.x.x,2025-06-18,2025-03-20
Prisma Access Browser,134.17.x.x,2025-06-09,2025-03-11
Prisma Access Browser,134.7.x.x,2025-06-03,2025-03-05
Prisma Access Browser,133.36.x.x,2025-05-27,2025-02-26
Prisma Access Browser,133.27.x.x,2025-05-20,2025-02-19
Prisma Access Browser,133.16.x.x,2025-05-14,2025-02-13
Prisma Access Browser,133.8.x.x,2025-05-06,2025-02-05
Prisma Access Browser,132.x.3025.x,2025-04-29,2025-01-29
Prisma Access Browser,132.x.3017.x,2025-04-22,2025-01-22
Prisma Access Browser,132.x.3010.x,2025-04-15,2025-01-15
Prisma Access Browser,131.x.2999.x,2025-04-08,2025-01-08
Prisma Access Browser,131.x.2995.x,2025-04-01,2025-01-01
Prisma Access Browser,131.x.2986.x,2025-03-26,2024-12-26
Prisma Access Browser,131.x.2976.x,2025-03-19,2024-12-19
Prisma Access Browser,131.x.2968.x,2025-03-11,2024-12-11
Prisma Access Browser,131.x.2963.x,2025-03-04,2024-12-04
Prisma Access Browser,131.x.2955.x,2025-02-26,2024-11-28
Prisma Access Browser,131.x.2948.x,2025-02-18,2024-11-20
Prisma Access Browser,131.x.2943.x,2025-02-12,2024-11-14
Prisma Access Browser,130.x.2936.x,2025-02-04,2024-11-06
Prisma Access Browser,130.x.2931.x,2025-01-28,2024-10-30
Prisma Access Browser,130.x2926.x,2025-01-21,2024-10-23
Prisma Access Browser,130.x2920.x,2025-01-14,2024-10-16
Prisma Access Browser,129.x2913.x,2025-01-07,2024-10-09
Prisma Access Browser,129.x2910.x,2024-12-31,2024-10-02
Prisma Access Browser,129.x2903.x,2024-12-24,2024-09-25
Prisma Access Browser,129.x2896.x,2024-12-17,2024-09-18
Prisma Access Browser,128.x.2888.x,2024-12-10,2024-09-11
Prisma Access Browser,128.x.2884.x,2024-12-02,2024-09-03
Prisma Access Browser,128.x.2877.x,2024-11-27,2024-08-28
Prisma Access Browser,128.x.2869.x,2024-11-19,2024-08-21
Prisma Access Browser,127.x.2863.x,2024-11-12,2024-08-14
Prisma Access Browser,127.x.2858.x,2024-11-05,2024-08-07
Prisma Access Browser,127.x.2853.x,2024-10-29,2024-07-31
Prisma Access Browser,127.x.2849.x,2024-10-22,2024-07-24
Prisma Access Browser,126.x.2844.x,2024-10-15,2024-07-17
Prisma Access Browser,126.x.2842.x,2024-10-08,2024-07-10
Prisma Access Browser,126.x.2834.x,2024-10-02,2024-07-04
Prisma Access Browser,126.x.2826.x,2024-09-23,2024-06-25
Prisma Access Browser,126.x.2819.x,2024-09-17,2024-06-19
Prisma Access Browser,126.x.2811.x,2024-09-10,2024-06-12
