Version,Release Date
Python 3.13.6,06-08-2025
Python 3.13.5,"June 11, 2025"
Python 3.11.13,"June 3, 2025"
Python 3.9.23,"June 3, 2025"
Python 3.10.18,"June 3, 2025"
Python 3.13.4,"June 3, 2025"
Python 3.12.11,"June 3, 2025"
Python 3.9.22,"April 8, 2025"
Python 3.11.12,"April 8, 2025"
Python 3.13.3,"April 8, 2025"
Python 3.12.10,"April 8, 2025"
Python 3.10.17,"April 8, 2025"
Python 3.13.2,04-02-2025
Python 3.12.9,04-02-2025
Python 3.12.8,03-12-2024
Python 3.13.1,03-12-2024
Python 3.11.11,03-12-2024
Python 3.10.16,03-12-2024
Python 3.9.21,03-12-2024
Python 3.13.0,07-10-2024
Python 3.12.7,01-10-2024
Python 3.11.10,"Sept. 7, 2024"
Python 3.10.15,"Sept. 7, 2024"
Python 3.12.6,"Sept. 6, 2024"
Python 3.9.20,"Sept. 6, 2024"
Python 3.8.20,"Sept. 6, 2024"
Python 3.12.5,06-08-2024
Python 3.12.4,"June 6, 2024"
Python 3.12.3,"April 9, 2024"
Python 3.11.9,"April 2, 2024"
Python 3.10.14,"March 19, 2024"
Python 3.9.19,"March 19, 2024"
Python 3.8.19,"March 19, 2024"
Python 3.11.8,06-02-2024
Python 3.12.2,06-02-2024
Python 3.12.1,08-12-2023
Python 3.11.7,04-12-2023
Python 3.12.0,02-10-2023
Python 3.11.6,02-10-2023
Python 3.11.5,24-08-2023
Python 3.10.13,24-08-2023
Python 3.9.18,24-08-2023
Python 3.8.18,24-08-2023
Python 3.10.12,"June 6, 2023"
Python 3.11.4,"June 6, 2023"
Python 3.7.17,"June 6, 2023"
Python 3.8.17,"June 6, 2023"
Python 3.9.17,"June 6, 2023"
Python 3.10.11,"April 5, 2023"
Python 3.11.3,"April 5, 2023"
Python 3.10.10,08-02-2023
Python 3.11.2,08-02-2023
Python 3.11.1,06-12-2022
Python 3.10.9,06-12-2022
Python 3.9.16,06-12-2022
Python 3.8.16,06-12-2022
Python 3.7.16,06-12-2022
Python 3.11.0,24-10-2022
Python 3.9.15,11-10-2022
Python 3.8.15,11-10-2022
Python 3.10.8,11-10-2022
Python 3.7.15,11-10-2022
Python 3.7.14,"Sept. 6, 2022"
Python 3.8.14,"Sept. 6, 2022"
Python 3.9.14,"Sept. 6, 2022"
Python 3.10.7,"Sept. 6, 2022"
Python 3.10.6,02-08-2022
Python 3.10.5,"June 6, 2022"
Python 3.9.13,17-05-2022
Python 3.10.4,"March 24, 2022"
Python 3.9.12,"March 23, 2022"
Python 3.10.3,"March 16, 2022"
Python 3.9.11,"March 16, 2022"
Python 3.8.13,"March 16, 2022"
Python 3.7.13,"March 16, 2022"
Python 3.9.10,14-01-2022
Python 3.10.2,14-01-2022
Python 3.10.1,06-12-2021
Python 3.9.9,15-11-2021
Python 3.9.8,05-11-2021
Python 3.10.0,04-10-2021
Python 3.7.12,"Sept. 4, 2021"
Python 3.6.15,"Sept. 4, 2021"
Python 3.9.7,30-08-2021
Python 3.8.12,30-08-2021
Python 3.9.6,"June 28, 2021"
Python 3.8.11,"June 28, 2021"
Python 3.7.11,"June 28, 2021"
Python 3.6.14,"June 28, 2021"
Python 3.9.5,03-05-2021
Python 3.8.10,03-05-2021
Python 3.9.4,"April 4, 2021"
Python 3.8.9,"April 2, 2021"
Python 3.9.2,19-02-2021
Python 3.8.8,19-02-2021
Python 3.6.13,15-02-2021
Python 3.7.10,15-02-2021
Python 3.8.7,21-12-2020
Python 3.9.1,07-12-2020
Python 3.9.0,05-10-2020
Python 3.8.6,"Sept. 24, 2020"
Python 3.5.10,"Sept. 5, 2020"
Python 3.7.9,17-08-2020
Python 3.6.12,17-08-2020
Python 3.8.5,"July 20, 2020"
Python 3.8.4,"July 13, 2020"
Python 3.7.8,"June 27, 2020"
Python 3.6.11,"June 27, 2020"
Python 3.8.3,13-05-2020
Python 2.7.18,"April 20, 2020"
Python 3.7.7,"March 10, 2020"
Python 3.8.2,24-02-2020
Python 3.8.1,18-12-2019
Python 3.7.6,18-12-2019
Python 3.6.10,18-12-2019
Python 3.5.9,02-11-2019
Python 3.5.8,29-10-2019
Python 2.7.17,19-10-2019
Python 3.7.5,15-10-2019
Python 3.8.0,14-10-2019
Python 3.7.4,"July 8, 2019"
Python 3.6.9,"July 2, 2019"
Python 3.7.3,"March 25, 2019"
Python 3.4.10,"March 18, 2019"
Python 3.5.7,"March 18, 2019"
Python 2.7.16,"March 4, 2019"
Python 3.7.2,24-12-2018
Python 3.6.8,24-12-2018
Python 3.7.1,20-10-2018
Python 3.6.7,20-10-2018
Python 3.5.6,02-08-2018
Python 3.4.9,02-08-2018
Python 3.7.0,"June 27, 2018"
Python 3.6.6,"June 27, 2018"
Python 2.7.15,01-05-2018
Python 3.6.5,"March 28, 2018"
Python 3.4.8,05-02-2018
Python 3.5.5,05-02-2018
Python 3.6.4,19-12-2017
Python 3.6.3,03-10-2017
Python 3.3.7,"Sept. 19, 2017"
Python 2.7.14,"Sept. 16, 2017"
Python 3.4.7,09-08-2017
Python 3.5.4,08-08-2017
Python 3.6.2,"July 17, 2017"
Python 3.6.1,"March 21, 2017"
Python 3.4.6,17-01-2017
Python 3.5.3,17-01-2017
Python 3.6.0,23-12-2016
Python 2.7.13,17-12-2016
Python 3.4.5,"June 27, 2016"
Python 3.5.2,"June 27, 2016"
Python 2.7.12,"June 25, 2016"
Python 3.4.4,21-12-2015
Python 3.5.1,07-12-2015
Python 2.7.11,05-12-2015
Python 3.5.0,"Sept. 13, 2015"
Python 2.7.10,23-05-2015
Python 3.4.3,25-02-2015
Python 2.7.9,10-12-2014
Python 3.4.2,13-10-2014
Python 3.3.6,12-10-2014
Python 3.2.6,12-10-2014
Python 2.7.8,"July 2, 2014"
Python 2.7.7,"June 1, 2014"
Python 3.4.1,19-05-2014
Python 3.4.0,"March 17, 2014"
Python 3.3.5,"March 9, 2014"
Python 3.3.4,09-02-2014
Python 3.3.3,17-11-2013
Python 2.7.6,10-11-2013
Python 2.6.9,29-10-2013
Python 3.3.2,15-05-2013
Python 3.2.5,15-05-2013
Python 2.7.5,12-05-2013
Python 2.7.4,"April 6, 2013"
Python 3.3.1,"April 6, 2013"
Python 3.2.4,"April 6, 2013"
Python 3.3.0,"Sept. 29, 2012"
Python 3.2.3,"April 10, 2012"
Python 2.6.8,"April 10, 2012"
Python 3.1.5,"April 9, 2012"
Python 2.7.3,"April 9, 2012"
Python 3.2.2,"Sept. 3, 2011"
Python 3.2.1,"July 9, 2011"
Python 2.7.2,"June 11, 2011"
Python 3.1.4,"June 11, 2011"
Python 2.6.7,"June 3, 2011"
Python 2.5.6,26-05-2011
Python 3.2.0,20-02-2011
Python 2.7.1,27-11-2010
Python 3.1.3,27-11-2010
Python 2.6.6,24-08-2010
Python 2.7.0,"July 3, 2010"
Python 3.1.2,"March 20, 2010"
Python 2.6.5,"March 18, 2010"
Python 2.5.5,31-01-2010
Python 2.6.4,26-10-2009
Python 2.6.3,02-10-2009
Python 3.1.1,17-08-2009
Python 3.1.0,"June 26, 2009"
Python 2.6.2,"April 14, 2009"
Python 3.0.1,13-02-2009
Python 2.5.4,23-12-2008
Python 2.4.6,19-12-2008
Python 2.5.3,19-12-2008
Python 2.6.1,04-12-2008
Python 3.0.0,03-12-2008
Python 2.6.0,02-10-2008
Python 2.3.7,"March 11, 2008"
Python 2.4.5,"March 11, 2008"
Python 2.5.2,21-02-2008
Python 2.5.1,"April 19, 2007"
Python 2.3.6,01-11-2006
Python 2.4.4,18-10-2006
Python 2.5.0,"Sept. 19, 2006"
Python 2.4.3,"April 15, 2006"
Python 2.4.2,"Sept. 27, 2005"
Python 2.4.1,"March 30, 2005"
Python 2.3.5,08-02-2005
Python 2.4.0,30-11-2004
Python 2.3.4,27-05-2004
Python 2.3.3,19-12-2003
Python 2.3.2,03-10-2003
Python 2.3.1,"Sept. 23, 2003"
Python 2.3.0,"July 29, 2003"
Python 2.2.3,30-05-2003
Python 2.2.2,14-10-2002
Python 2.2.1,"April 10, 2002"
Python 2.1.3,"April 9, 2002"
Python 2.2.0,21-12-2001
Python 2.0.1,"June 22, 2001"
